RaceDate,PctRepublican,PctDemocrat
19721107,60.7,37.5
19761102,48.0,50.1
19801104,50.7,41.0
19841106,58.8,40.6
19881108,53.4,45.6
19921103,37.4,43.0
19961105,40.7,49.2
20001107,47.9,48.4
20041102,50.7,48.3
20081104,45.7,52.9
20121106,47.2,51.1
